Тип,Название,Дочитки,СВД,ПД,Просмотры,CTR,Показы,Комменты,Подписки,Лайки,Символы в заголовке,День недели,Будни/выходные,Колво символов в тексте,
Размышления,Вайфу: почему влюбляются в аниме девушек,4529,110,80,5652,6.3,64025,21,18,185,40,Вс,7,3142,
Обзор,Безумное аниме,4511,83,77,5833,5.2,66105,16,12,160,14,Вт,2,3158,
Размышления,Проблема плохих концовок в аниме,4490,96,88,5094,8.4,75603,15,10,170,32,Пн,1,3028,
Обзор,Романтическое аниме про гениев,4387,64,79,5584,4.9,73704,5,7,155,30,Чт,4,3407,
Подборка,8 Тупых клише в аниме,4312,97,92,4676,8.3,24950,29,3,66,21,Вт,2,2650,
Подборка,Аниме монстры. которые могли бы победить Годзиллу,4229,82,94,4505,6.9,85997,55,6,98,49,Чт,4,3454,
Подборка,Аниме персонажи. которые могли бы предотвратить щелчок Таноса,4189,92,71,5877,4.6,47861,69,17,86,61,Вт,2,3554,
Подборка,Русские сериалы. достойные аниме адаптации,4146,62,85,4869,4.6,47263,33,7,112,42,Сб,6,2902,
Подборка,Самые странные предыстории персонажей в аниме,4137,94,92,4495,8.3,89093,29,4,160,45,Пн,1,3171,
Размышления,4 причины почему стоит посмотреть Евангелион в 2019 году,4074,84,88,4652,7.8,75228,33,10,197,56,Вс,7,3184,
Размышления,В чем проблема современных аниме?,3999,135,88,4531,6.5,42742,50,3,129,33,Сб,6,3308,
Подборка,3 аниме. где враги становятся любовниками,3986,86,75,5296,5.3,33805,4,0,53,41,Вт,2,2790,
Размышления,Как аниме-гарем создает глубокую драму,3949,65,84,4677,5.1,59673,5,8,161,38,Вс,7,3212,
Размышления,Что такое Рамен: дешевое и вкусное японское блюдо. которое стоит попробовать,3906,126,87,4514,4.7,64931,31,7,201,76,Чт,4,2822,
Размышления,Что значит Канзенбан. Отомэ игры. Спешл в аниме,3823,85,85,4510,5.5,80139,5,15,179,47,Сб,6,2817,
Обзор,Аниме шедевр Доктор Стоун: одна из главных премьер лета,3775,90,81,4634,6.2,89809,15,5,153,55,Вт,2,2912,
Размышления,Как выжить в аниме: жизненные советы,3767,129,84,4505,5.3,62146,25,15,189,36,Сб,6,3308,
Размышления,Аниме против реальной жизни,3757,70,90,4184,5.7,59549,9,4,118,27,Вс,7,2704,
Размышления,Не смешно: комедия и аниме,3754,75,88,4257,7.8,62042,29,9,117,26,Вт,2,3121,
Подборка,Странные аниме: кринж. бессмыслено. плохо,3724,78,90,4157,5.4,59237,16,4,104,41,Ср,3,2707,
Подборка,ТОП 5 самых жутких аниме #2,3684,103,87,4224,11.1,39535,9,4,68,27,Вс,7,2898,
Обзор,Аниме в жанре этти про 5 невест и одного парня,3567,82,82,4325,6.1,69727,9,5,159,46,Вт,2,3645,
Размышления,Что значит ояш .спокон. нидзикон?,3514,85,76,4609,5.4,35201,8,13,118,33,Вс,7,2683,
Размышления,Как смотреть аниме,3512,107,85,4112,5.9,68808,41,14,140,18,Вт,2,2929,
Обзор,Идеальное фэнтези аниме,3507,75,79,4412,5.1,65990,13,12,147,23,Пн,1,2820,
Размышления,Почему так много аниме про школу: причины,3501,87,84,4162,3.8,78854,15,11,195,41,Ср,3,3193,
Обзор,Почему Атака Титанов стало одним из самых популярных аниме в России,3460,101,89,3905,6.6,89284,36,15,285,67,Ср,3,3285,
Размышления,Аниме- зеркало души,3382,101,81,4194,6.6,57809,16,18,153,19,Ср,3,2943,
Обзор,Аниме о том. как общество убивает личность,3239,94,80,4068,6.8,51604,19,10,132,42,Вт,2,3547,
Подборка,ТОП 5 Трагичных аниме ,3215,92,86,3749,8.6,41334,17,3,80,22,Пт,5,3247,
Подборка,Что посмотреть из аниме про любовь?,3207,86,89,3597,8.3,36301,14,2,80,35,Ср,3,2685,
Подборка,Аниме для новичков. Что посмотреть?,3190,49,91,3487,4.9,23876,10,4,60,35,Пт,5,2578,
Размышления,Влияние Нетфликс на аниме,3126,81,85,3680,3.8,69321,27,2,123,25,Чт,4,2817,
Обзор,Ванпанчмэн 2: неоднозначная премьера,3104,139,87,3584,4.9,90754,15,6,122,36,Чт,4,3023,
Размышления,Если страдать. то страдать до конца: проблема аниме Re:Zero,3061,119,83,3710,5.1,54771,28,9,118,59,Пн,1,3425,
Размышления,Почему нам нравятся неуклюжие девушки в аниме: эффект оплошности,3057,118,82,3720,7.3,67328,16,6,210,64,Пт,5,3542,
Размышления,Аниме переоценено,3026,84,78,3892,4.7,46233,4,6,92,17,Пт,5,3189,
Размышления,Что значит Сэйнэн.Моэ.Дзесэй,2943,86,84,3519,5.1,50995,2,14,176,28,Вт,2,2552,
Обзор,Аниме шедевр: восторг. атмосфера. неверлэнд,2826,81,77,3672,4.5,65715,10,13,148,43,Чт,4,2883,
Размышления,Что значит Дозикко. Гайден. Реверс- гаремник,2770,117,90,3066,5.3,60075,0,9,145,44,Пт,5,2662,
Размышления,Хватит презирать аниме: мультфильмы смотрят все. а аниме нет,2669,108,86,3114,5.5,22381,26,4,73,60,Вт,2,3139,
Размышления,Аниме не должно быть полезным,2624,104,81,3231,5.1,52662,23,8,135,29,Пт,5,3105,
Размышления,Желания анимешника на Новый Год,2507,71,84,2978,5.7,47385,13,7,132,31,Вт,2,2963,
Обзор,Жестокое аниме про демонов и самураев,2501,79,81,3081,5.5,45415,7,4,107,37,Пт,5,2860,
